mass_A
t	x	y
1,579528889E1	-3,256619464E1	5,425298491E1
1,582861111E1	-3,314261633E1	5,759985748E1
1,586194444E1	-3,484773453E1	6,622637578E1
1,589525556E1	-4,148397007E1	9,043026981E1
1,592858889E1	-4,332234466E1	9,561099979E1
1,596195556E1	-4,315566426E1	9,514544954E1
1,599523333E1	-4,315431308E1	9,515010956E1
1,602855556E1	-4,315581775E1	9,514717375E1
1,606187778E1	-4,315561106E1	9,515136064E1
1,609520000E1	-4,315931939E1	9,514758425E1
1,612852222E1	-4,315733282E1	9,515667250E1
1,616190000E1	-4,316020098E1	9,514434520E1
1,619516667E1	-4,315707420E1	9,515065216E1
1,622848889E1	-4,316069719E1	9,514428303E1
1,626185556E1	-4,315903650E1	9,515265855E1
1,629514444E1	-4,316014033E1	9,514628941E1
1,632846667E1	-4,316027009E1	9,515197437E1
1,636187778E1	-4,316087721E1	9,514500140E1
1,639511111E1	-4,316362224E1	9,504163649E1
1,642844444E1	-4,214090306E1	9,206246127E1
1,646176667E1	-3,947248098E1	8,419181613E1
1,649507778E1	-3,321512046E1	5,739232260E1
1,652842222E1	-3,314389715E1	5,800137298E1
1,656172222E1	-3,309881174E1	5,713064921E1
1,659506667E1	-3,296564914E1	5,722028747E1
1,662840000E1	-3,309544327E1	5,710621837E1
1,666170000E1	-3,297206315E1	5,722264170E1
1,669502222E1	-3,308156281E1	5,710878189E1
1,672834444E1	-3,297883726E1	5,719070675E1
1,676166667E1	-3,306710705E1	5,712473532E1
1,679497778E1	-3,299708345E1	5,718950915E1
1,682834444E1	-3,306338740E1	5,714376579E1
1,686164444E1	-3,302592337E1	5,717253142E1
1,689496667E1	-3,306746464E1	5,718013559E1
1,692828889E1	-3,304563954E1	5,719677738E1
1,696160000E1	-3,305423769E1	5,718738224E1
1,699493333E1	-3,355227316E1	5,994555785E1
1,702824444E1	-3,417384969E1	6,296140195E1
1,706157778E1	-3,886942913E1	8,231333775E1
1,709490000E1	-4,194140676E1	9,170839374E1
1,712822222E1	-4,231910691E1	9,276326186E1
1,716155556E1	-4,275198826E1	9,392648598E1
1,719487778E1	-4,280869272E1	9,414855631E1
1,722818889E1	-4,290029092E1	9,435424067E1
1,726152222E1	-4,291578997E1	9,443222612E1
1,729484444E1	-4,293453045E1	9,443996820E1
1,732816667E1	-4,293425125E1	9,444030967E1
1,736148889E1	-4,293324177E1	9,444528007E1
1,739484444E1	-4,293545210E1	9,444756115E1
1,742813333E1	-4,293543259E1	9,443814624E1
1,746146667E1	-4,292288641E1	9,443556664E1
1,749478889E1	-4,294114815E1	9,443979788E1
1,752813333E1	-4,292565031E1	9,443377571E1
1,756143333E1	-4,292006359E1	9,440997848E1
1,759475556E1	-4,268781105E1	9,368841164E1
1,762814444E1	-4,130320658E1	8,952437375E1
1,766140000E1	-3,766744915E1	7,828515790E1
1,769472222E1	-3,218754444E1	5,117182533E1
